title,published_at,channel_title,like_count,comment,commenter_id,comment_published_at
,,,,"I&#39;ve had anger issues from an extremely young age. At 4 I was enraged by another kid messing with my clothes and hair, tugging and poking and pulling. So I kicked him to make him stop. <br><br>I was diagnosed with ADHD. My pills made me sleepy, I didn&#39;t like them, I didn&#39;t like that a treatment had been decided without speaking to me, I didn&#39;t like that I had to take pills, and I didn&#39;t like how everyone was treating me as a problem to be fixed. <br><br>But I didn&#39;t know how to say any of those things, so I spent the next few years figuring out how to not lash out in rage every ten seconds. <br><br>At age 7, I attempted su*cide for the first time. <br><br>At 10, I nearly strangled a kid on the bus when he stole my Pokemon Yellow cartridge and deleted my completed save. I held him against the window with the point of my elbow pressed into his wind pipe. It wasn&#39;t until he stopped squirming that I realized WHAT I WAS DOING and stopped. <br><br>I could have been a tiny murderer, all because I was MEDICATED instead of SPOKEN TO. All because the adults sought to correct me, not actually CARE about me or for me. <br><br>I&#39;ve been a rage filled gremlin for as long as I can call up coherent memory. <br><br>My anger is the part of me that cares most deeply about right and wrong. And when wrong is done to me, it will not sleep, and I will not sleep. Not until resolve is found. <br><br>That&#39;s when I started writing, to scour through my desire to rip shit apart all the time and start putting words to mistreatment. <br><br>It would take me until I was 30 to present my parents with a well worded explanation to my previous bad behaviors, that both accepted they did what they thought was right but that their actions were often negligent and made my situations worse because they wouldn&#39;t bother to talk shit out with me. <br><br>We have a better relationship now, but I needed to make it clear to them. They did not raise me, I SURVIVED them.",UCMezeV7hRv3JMWG8aWlnjjQ,2023-07-22T13:08:13Z
,,,,This is why I DESPISE Apple! Im very much Pro &#39;Right to repair&#39;,UCiPkCBeg-dsd1E6fLosjLzQ,2023-07-21T20:04:22Z
,,,,"Here’s the thing yes, it’s hard to forgive but forgiveness takes time and really Dylan with what happened. Redemption also takes time to you have the right to be or not to be open to either thing, but you can hold it against a person. He’s actually starving for the redemption.",UCUonZSMa_DhmlSdAT57AuVg,2023-07-21T18:18:40Z
,,,,Oh we will skip all the talk about greed.  Christians never adress greed.  Lust is their favorite to pick on.  Sloth makes them angry.  Gluttony makes them pompous.  Lust is the one they are the most prideful about.  Pride is their bread and butter.   But greed?  Greed is most sacred unless it is the church saying that people are too greedy to give to the church.  Hypocrites across the board.,UC4n4nArh7nIw2-K0yZp4GQA,2023-07-21T14:35:07Z
,,,,"I want to thank you for having the courage and strength to show the darkness I saw over 20 years ago in the church. It’s not easy, and I feel it needs to be brought to light a lot more.",UCHgx0AxGZ8f3QNrPKZqh1-w,2023-07-18T15:31:17Z
,,,,I always thought of the 7 deadly sins as in dont let these things consume you.  But i wasn&#39;t entirely aware how the evangelicals broach these topics. They twist these things like crazy. Also so funny to me how trump is held in such high regards with these people.,UCLKODVsRhGmpGc99ITrzJLg,2023-07-18T10:09:15Z
,,,,"It&#39;s worth noting car companies are now selling heated seats, etc as a monthly subscription.",UClhi33luKONU5O672sIpSdQ,2023-07-17T21:22:56Z
,,,,I think every single person would choose to be vice-ruler of the universe if all they had to do was be crucified. Such an infinitely temporary sacrifice in the time frame of sitting at the right hand of god for the rest of eternity while everyone either worships you or burns in hell for not worshipping you. How exactly is that a sacrifice on the cross again?,UCNJIRBhGlcfzXlzJ-2HmLFw,2023-07-17T16:33:23Z
,,,,The whole &quot;r4ping and taking ur virginity&quot; is such a creepy statement. It seems like he r4paes kids/women and want them to shut up and forgive him. As if ALL religions don&#39;t blame girls/children/women for r4pe already.,UC-Kbx78vRX8-B92FtvGzq3A,2023-07-16T16:45:48Z
,,,,"I want to scream to humanity that &#39;I am&#39; an Ex-Christian, you have lied and failed me and humanity. If you claim you&#39;re a Christian, I see you as fake and deceiver. Love has mercy over you!",UCDKZf9jrC8vJ88lx6rWRvwA,2023-07-16T03:19:55Z
